Genotype,low,medium,high,obs_low,obs_medium,obs_high
R4_S1,-0.11803457009314045,-0.25104940449835833,-0.13267661248951074,-0.0864213155941565,0.0315638250272991,0.0503542706171274
R4_S10,-0.10598930022193565,-0.21951361891236876,-0.21869444773817137,-0.629235641350105,-0.6687891066776711,-0.371905655181221
R4_S2,-0.046791681884033154,-0.21616350547862928,0.06233420159706293,-0.4848184699493097,-0.3219419440385594,-0.1504947690814831
R4_S3,-0.2122165311605555,-0.3438882618489707,-0.357799828068336,-0.541610701732665,-0.5336862683941296,-0.458110836325847
R4_S4,-0.001263370187657653,-0.17440999552861813,-0.13153322765756031,-0.5241463593059275,-0.4433227198382702,-0.3042011059461281
R4_S5,-0.11712528038943165,-0.18458261401550558,-0.1158603818879736,-0.3253599344427123,-0.3112682155423111,-0.4317532310443075
R4_S6,-0.11137357952509053,-0.25113810355937916,-0.2341822590017183,-0.3732477436918234,-0.1929695284584667,-0.2886266717652914
R4_S7,-0.0639445227673654,-0.14694471070790538,-0.2309199161909795,-0.2938610257695127,-0.2532542049907229,-0.1327493381716615
R4_S8,-0.04448209570058148,-0.2393837420734426,-0.17873144649096573,-0.4378992224999146,-0.4025582873021529,-0.3439811678239062
R4_S9,-0.15343400475063906,-0.2514078322101304,-0.34226336650121936,-0.4158990878912228,-0.4858048422629728,-0.4474171825276555
R5_O1,-0.20833692490834577,-0.1333874733915712,-0.00343201677300331,-0.3320413818672388,-0.153978305025167,-0.222915754050367
R5_O10,0.03109709619905976,-0.27134579302532225,-0.09196008388324595,0.0149978644343173,0.0552521933114359,-0.1485479142344906
R5_O2,-0.1282542334349066,-0.39165873778311977,-0.22823051005809036,0.0847389459380959,-0.0726862662970254,-0.2135974273178729
R5_O3,-0.14417403446401944,-0.2861289497095998,-0.08166677536557843,-0.3544035024024884,-0.2768171410131327,-0.2660429843025604
R5_O4,-0.23980717529965356,-0.18904619518533194,-0.17643246074338848,-0.2878061638500637,-0.2753753348888517,-0.3881588633933774
R5_O5,-0.1107481593337043,-0.09394972257617562,-0.057339253777748844,-0.0709034692684102,0.0315925400240634,-0.2053933297386144
R5_O6,-0.0827111511677927,-0.23355226375230576,-0.12878622924261474,-0.3474922732760238,-0.1965791727800807,-0.3469133974570471
R5_O7,-0.01821650564315358,-0.1521455420333382,-0.021619894592726174,-0.0679679609245409,-0.1091413403848887,-0.2031693552480804
R5_O8,-0.023898154677170602,-0.2207201309484339,-0.06221711736985891,-0.0055814394261625,-0.1727222607236381,-0.1922027232166351
R5_O9,-0.10610542533271494,-0.17266140268482877,-0.07757022877067477,-0.163913704445401,-0.1750820574742995,-0.1577031435322769
R5_S1,-0.3184116157561356,-0.6186601806682323,-0.26001578279486903,-0.3057927100826428,-0.0955184929385817,-0.1057695964946235
R5_S10,-0.30187674663781927,-0.6248553783501647,-0.5146955543997112,-0.5871398519257811,-0.622172055066194,-0.3227423346781533
R5_S2,-0.2839939841186104,-0.575735712870048,-0.041497949842552895,-0.1920341865581561,-0.1847981413076681,-0.2262627763570471
R5_S3,-0.4575324784591476,-0.7622566637147401,-0.6653753330128788,-0.400301285505846,-0.4110445307398299,-0.3125085228974013
R5_S4,-0.21136685689962614,-0.57405797345112,-0.3013863409932769,-0.3546330935803981,-0.3112794529328179,-0.3559833895509144
R5_S5,-0.13418765040551972,-0.6166534058070481,-0.3340343268300034,-0.4740247745099399,-0.2803524146596664,-0.3465065601807362
R5_S6,-0.3305387832525297,-0.6494742323938862,-0.434348431886275,-0.1102918413623423,-0.0413695842518196,-0.2079151593426338
R5_S7,-0.23468564434618688,-0.5526861152706288,-0.4607282363868134,-0.2198631850240036,-0.2014910838413913,-0.0528245807249012
R5_S8,-0.2623074277095672,-0.6310783792619286,-0.37065939664841996,-0.2999976623460266,-0.3334632527221831,-0.2745775206990374
R5_S9,-0.1901607702123606,-0.6512809327632116,-0.5628625764773656,0.109931918118165,-0.1149004146703918,-0.156776931328066
R6_O1,-0.2591150821637538,-0.10729735111702965,-0.04254086878096697,-0.5566484798101681,-0.2548778704657598,-0.2936518239043154
